Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6242491155	0.8497412801	3.3749480247
0.6242606839	0.8499799967	3.3748240471
0.6242722601	0.8506447077	3.3744788170
0.6242838290	0.8505556583	3.3745250702
0.6242953987	0.8453621864	3.3772230148
0.6243069710	0.8644421697	3.3673188686
0.6243185537	0.8572653532	3.3710417747
start
0.6243301244	0.8644416928	3.3673191071
0.6243417037	0.8611134291	3.3690452576
0.6243532782	0.8763797879	3.3611328602
0.6243648510	0.8731907010	3.3627846241
0.6243764268	0.8939177394	3.3520596027
0.6243879964	0.8968871236	3.3505251408
0.6243995673	0.9081299305	3.3447198868
0.6244111490	0.9096034765	3.3439595699
0.6244227186	0.9131035805	3.3421540260
0.6244342815	2.5481867790	2.5708870888
0.6244458795	2.4310171604	2.6216261387
0.6244574296	3.3352985382	2.2466018200
0.6244690189	2.3066582680	2.6762044430
0.6244805767	5.0686388016	1.6248431206
0.6244921469	1.7706258297	2.9202632904
0.6245037242	1.9412900209	2.8409793377
0.6245153054	0.9512931705	3.3224995136
0.6245268815	0.9245665669	3.3362457752
0.6245384763	0.9049878120	3.3463416100
0.6245500195	0.8908119202	3.3536651134
0.6245615947	0.8865985870	3.3558440208
0.6245731856	0.8935791850	3.3522346020
0.6245847607	0.8785388470	3.3600149155
0.6245963175	0.8512718678	3.3741531372
0.6246079071	0.8556666970	3.3718714714
0.6246194831	0.8377879858	3.3811604977
0.6246310492	0.8507994413	3.3743984699
0.6246426227	0.8393917084	3.3803265095
0.6246541978	0.8413424492	3.3793122768
0.6246657685	0.8414951563	3.3792328835
0.6246773599	0.8365388513	3.3818101883
0.6246889065	0.8282465935	3.3861253262
0.6247004961	0.8269520402	3.3867993355
0.6247120696	0.8205654621	3.3901259899
0.6247236386	0.8165535927	3.3922169209
0.6247352091	0.8120840192	3.3945474625
0.6247467777	0.8087928295	3.3962643147
0.6247583526	0.8022533655	3.3996775150
0.6247699535	0.8043814898	3.3985664845
0.6247815288	0.8121507764	3.3945126534
0.6247930719	0.8231794238	3.3887641430
0.6248046463	0.8438959122	3.3779850006
0.6248162323	0.8560190201	3.3716886044
0.6248278069	0.8813221455	3.3585741520
0.6248393814	0.8958424926	3.3510649204
0.6248509518	0.8945894241	3.3517124653
0.6248625295	0.8911139965	3.3535089493
0.6248741096	0.8930131793	3.3525271416
0.6248856775	0.8894982338	3.3543443680
0.6248972463	0.8935348988	3.3522574902
0.6249088145	0.8904706836	3.3538415432
0.6249203893	0.8933291435	3.3523638248
0.6249319653	0.8881723285	3.3550300598
0.6249435381	0.8952929974	3.3513488770
0.6249551273	0.8893829584	3.3544039726
0.6249666978	0.8952786922	3.3513562679
0.6249782639	0.8886370063	3.3547897339
0.6249898500	1.0682473183	3.2628233433
0.6250014175	0.8604217172	3.3694040775
0.6250129926	0.9266071320	3.3351948261
0.6250245603	0.9124721289	3.3424797058
0.6250361287	0.9277641773	3.3345990181
0.6250476990	0.8990105391	3.3494281769
0.6250592889	0.9976932406	3.2987310886
0.6250708595	0.9015586972	3.3481121063
0.6250824270	0.9326671362	3.3320751190
0.6250939948	0.9026076794	3.3475704193
0.6251055841	0.9083812833	3.3445901871
0.6251171734	0.8932973146	3.3523802757
0.6251287262	0.9084076285	3.3445765972
0.6251402959	0.8915359378	3.3532907963
0.6251518787	0.9153634906	3.3409886360
0.6251634587	0.8944067359	3.3518068790
0.6251750249	0.9137790203	3.3418056965
0.6251865911	0.8978326917	3.3500366211
0.6251981717	0.9113665223	3.3430500031
0.6252097413	0.9002752900	3.3487749100
0.6252213168	0.9106672406	3.3434107304
0.6252328865	0.9009049535	3.3484497070
0.6252444627	0.9016639590	3.3480577469
0.6252560317	0.8966181278	3.3506641388
0.6252676240	0.8958775401	3.3510468006
0.6252792136	0.8980029821	3.3499486446
0.6252907640	0.8959615231	3.3510034084
0.6253023303	0.8931423426	3.3524603844
0.6253139059	0.8857569695	3.3562793732
0.6253254985	0.8929786086	3.3525450230
0.6253370700	0.8907307982	3.3537070751
0.6253486406	0.8969157338	3.3505103588
0.6253602216	0.9018065929	3.3479840755
0.6253717901	0.8917047381	3.3532035351
0.6253833621	0.8876071572	3.3553223610
0.6253949328	0.8895185590	3.3543338776
0.6254065106	0.8910143971	3.3535604477
0.6254180999	0.8863469362	3.3559741974
0.6254296564	0.8957968354	3.3510885239
0.6254412204	0.8868770003	3.3557000160
0.6254528096	0.8844389915	3.3569612503
0.6254643783	0.8882769346	3.3549759388
0.6254759490	0.8853523135	3.3564887047
0.6254875220	0.8853067160	3.3565123081
0.6254990999	0.8814280629	3.3585193157
0.6255106661	0.8834685683	3.3574633598
0.6255222471	0.8820872903	3.3581781387
0.6255338155	0.8824434280	3.3579938412
0.6255453886	0.8800618649	3.3592264652
0.6255569568	0.8850237727	3.3566586971
0.6255685331	0.8785411119	3.3600137234
0.6255801241	0.8815501332	3.3584561348
0.6255916753	0.8776846528	3.3604571819
0.6256032642	0.8838597536	3.3572609425
0.6256148420	0.8815847039	3.3584382534
0.6256264130	0.8804681301	3.3590161800
0.6256379825	0.8793410659	3.3595995903
0.6256495531	0.8814036846	3.3585319519
0.6256611348	0.8784319758	3.3600702286
0.6256727034	0.8804920912	3.3590037823
0.6256842795	0.8763056397	3.3611712456
0.6256958543	0.8801295757	3.3591914177
0.6257074274	0.8800567985	3.3592290878
0.6257189937	0.8771095276	3.3607549667
0.6257305677	0.8800291419	3.3592433929
0.6257421570	0.8801986575	3.3591556549
0.6257537298	0.8790311217	3.3597600460
0.6257653190	0.8772324324	3.3606913090
0.6257768670	0.8815644383	3.3584487438
0.6257884335	0.8769773841	3.3608233929
0.6258000116	0.8811815977	3.3586468697
0.6258115831	0.8788358569	3.3598611355
0.6258231576	0.8836076856	3.3573913574
0.6258347468	0.8820840716	3.3581798077
0.6258463172	0.8871392608	3.3555643559
0.6258578832	0.8912038803	3.3534624577
0.6258694542	0.8960801363	3.3509421349
0.6258810435	0.9098571539	3.3438286781
0.6258926059	0.9176341295	3.3398180008
0.6259041952	0.9455945492	3.3254270554
0.6259157618	0.9538797736	3.3211712837
0.6259273280	0.9969928861	3.2990889549
0.6259389104	1.0041719675	3.2954220772
0.6259504994	1.0777834654	3.2579915524
0.6259620586	1.0827544928	3.2554748058
0.6259736248	1.1983753443	3.1973283291
0.6259852086	1.1988639832	3.1970841885
0.6259967748	1.3609526157	3.1168179512
0.6260083695	1.3637746572	3.1154332161
0.6260199354	1.6035102606	2.9993660450
0.6260314937	1.5981754065	3.0019154549
0.6260430614	1.9253094196	2.8483397961
0.6260546522	1.8819750547	2.8683648109
0.6260662434	2.3149766922	2.6725301743
0.6260778025	2.2686054707	2.6930558681
0.6260893688	2.8130059242	2.4586095810
0.6261009350	2.7800946236	2.4723844528
0.6261125240	3.4317867756	2.2087614536
0.6261240959	3.3568975925	2.2380959988
0.6261356618	4.1308574677	1.9463667870
0.6261472345	4.0830593109	1.9636671543
0.6261588010	5.0054240227	1.6454815865
0.6261703955	4.9984598160	1.6477640867
into photometer
0.6261819617	5.9975481033	1.3376736641
0.6261935398	5.9515867233	1.3511977196
0.6262051057	7.0628094673	1.0427772999
0.6262166764	7.0571994781	1.0442408323
0.6262282657	8.2808046341	0.7456351519
0.6262398381	8.3774156570	0.7237391472
0.6262514274	9.5792484283	0.4700852931
0.6262629983	9.6116647720	0.4637008011
0.6262745414	10.8570919037	0.2350053042
0.6262861353	11.3481073380	0.1531707793
0.6262977016	12.6979932785	-0.0501434766
0.6263092638	13.5402116776	-0.1624151617
0.6263208535	15.0533351898	-0.3395742476
0.6263324280	14.7211112976	-0.3031825125
0.6263439943	15.3303461075	-0.3689098060
0.6263555810	15.9710283279	-0.4334038496
0.6263671472	17.7397041321	-0.5894027352
0.6263787251	19.9993400574	-0.7489776015
0.6263902913	20.8766841888	-0.8009299040
0.6264018818	21.6336860657	-0.8418691754
0.6264134481	22.8105049133	-0.8990662098
0.6264250045	23.2554092407	-0.9188186526
0.6264365938	23.8997497559	-0.9457522035
0.6264481601	24.2316799164	-0.9588939548
0.6264597259	24.8580760956	-0.9824143648
0.6264713072	25.1276950836	-0.9920460582
0.6264828965	25.6888713837	-1.0111931562
0.6264944476	26.0580482483	-1.0231549740
0.6265060369	26.5817070007	-1.0393040180
0.6265176202	27.0325069427	-1.0524746180
0.6265291865	27.5067119598	-1.0656366348
0.6265407548	27.9122295380	-1.0763560534
0.6265523211	28.3750457764	-1.0880154371
0.6265639067	28.8506870270	-1.0993905067
0.6265754726	29.2937755585	-1.1094607115
