Day fraction since midnight on	T (s)	Hydraulic Residence Time	pH probe (pH)
0.6128134171	127	0.1257928914	6.90673399
0.6128249898	128	0.1267833866	6.903384209
0.6128365659	129	0.1277738818	6.913531303
0.6128481437	130	0.128764377	6.912575245
0.6128597124	131	0.1297548722	6.903434277
0.6128712858	132	0.1307453675	6.906447887
0.6128828647	133	0.1317358627	6.905048847
0.6128944387	134	0.1327263579	6.902728081
0.6129060122	135	0.1337168531	6.904242992
0.6129176018	136	0.1347073483	6.909302235
0.6129291611	137	0.1356978435	6.901919842
0.6129407391	138	0.1366883387	6.895053864
0.6129523083	139	0.1376788339	6.890030861
0.6129638788	140	0.1386693291	6.88587904
0.6129754528	141	0.1396598243	6.893332005
0.6129870302	142	0.1406503195	6.897892475
0.6129986204	143	0.1416408147	6.893642902
0.6130101748	144	0.1426313099	6.883438587
0.6130217519	145	0.1436218052	6.875828266
0.6130333229	146	0.1446123004	6.868028641
0.6130449028	147	0.1456027956	6.868994713
0.6130564918	148	0.1465932908	6.868161678
0.613068052	149	0.147583786	6.872480869
0.6130796344	150	0.1485742812	6.873601437
0.6130912011	151	0.1495647764	6.870698929
0.613102777	152	0.1505552716	6.866168976
0.6131143446	153	0.1515457668	6.86389637
0.6131259172	154	0.152536262	6.86960268
0.6131374948	155	0.1535267572	6.867889881
0.6131490724	156	0.1545172524	6.866310597
0.6131606456	157	0.1555077477	6.859890461
0.6131722189	158	0.1564982429	6.854487419
0.6131837936	159	0.1574887381	6.857282639
0.6131953601	160	0.1584792333	6.851222038
0.6132069339	161	0.1594697285	6.84732151
0.6132185255	162	0.1604602237	6.849616528
0.6132300971	163	0.1614507189	6.846879482
0.613241657	164	0.1624412141	6.847064495
0.6132532319	165	0.1634317093	6.844007015
0.613264806	166	0.1644222045	6.846893311
0.6132763929	167	0.1654126997	6.843071938
0.6132879591	168	0.1664031949	6.834154606
0.6132995347	169	0.1673936901	6.835269451
0.6133111054	170	0.1683841854	6.835080147
0.6133226831	171	0.1693746806	6.835400581
0.6133342503	172	0.1703651758	6.830097675
0.6133458234	173	0.171355671	6.836493969
0.6133574035	174	0.1723461662	6.840267181
0.6133689716	175	0.1733366614	6.835214615
0.613380565	176	0.1743271566	6.835260868
0.6133921256	177	0.1753176518	6.822147846
0.6134037016	178	0.176308147	6.817625046
0.6134152759	179	0.1772986422	6.827348232
0.6134268461	180	0.1782891374	6.835456371
0.6134384187	181	0.1792796326	6.82558775
0.6134499959	182	0.1802701279	6.81414032
0.6134615687	183	0.1812606231	6.811549187
0.6134731456	184	0.1822511183	6.813885212
0.6134847163	185	0.1832416135	6.810454845
0.6134963003	186	0.1842321087	6.808589459
0.6135078664	187	0.1852226039	6.80427742
0.6135194426	188	0.1862130991	6.809448719
0.6135310168	189	0.1872035943	6.805521965
0.6135425924	190	0.1881940895	6.793962956
0.6135541633	191	0.1891845847	6.788749695
0.6135657409	192	0.1901750799	6.786177158
0.6135773131	193	0.1911655751	6.787659168
0.6135888809	194	0.1921560703	6.786402226
0.6136004566	195	0.1931465656	6.786119461
0.6136120287	196	0.1941370608	6.790037155
0.6136236011	197	0.195127556	6.78758049
0.6136351902	198	0.1961180512	6.77516222
0.6136467561	199	0.1971085464	6.772919655
0.6136583242	200	0.1980990416	6.774939537
0.6136698975	201	0.1990895368	6.774135113
0.6136814761	202	0.200080032	6.776980877
0.6136930542	203	0.2010705272	6.772306442
0.6137046299	204	0.2020610224	6.767648697
0.6137161993	205	0.2030515176	6.768593788
0.6137277716	206	0.2040420128	6.767370701
0.6137393567	207	0.2050325081	6.768821716
0.6137509326	208	0.2060230033	6.763110161
0.6137624986	209	0.2070134985	6.756323338
0.6137740752	210	0.2080039937	6.763960362
0.6137856474	211	0.2089944889	6.772602081
0.6137972264	212	0.2099849841	6.770368576
0.6138087935	213	0.2109754793	6.765766144
0.6138203602	214	0.2119659745	6.753091335
0.6138319381	215	0.2129564697	6.749647141
0.6138435165	216	0.2139469649	6.749493122
0.6138550918	217	0.2149374601	6.752962112
0.6138666646	218	0.2159279553	6.752182484
0.6138782353	219	0.2169184505	6.741965771
0.6138898093	220	0.2179089458	6.745432854
0.6139013831	221	0.218899441	6.749312401
0.6139129563	222	0.2198899362	6.748209953
0.613924536	223	0.2208804314	6.744020939
0.613936111	224	0.2218709266	6.744734764
0.6139476773	225	0.2228614218	6.749018192
0.6139592592	226	0.223851917	6.753953457
0.6139708331	227	0.2248424122	6.745449543
0.6139824065	228	0.2258329074	6.735805035
0.6139939795	229	0.2268234026	6.730334759
0.614005559	230	0.2278138978	6.731485367
0.6140171281	231	0.228804393	6.734717846
0.6140287177	232	0.2297948883	6.730370998
0.6140402778	233	0.2307853835	6.729594231
0.6140518451	234	0.2317758787	6.730418682
0.6140634202	235	0.2327663739	6.73196888
0.6140749925	236	0.2337568691	6.716240406
0.6140865787	237	0.2347473643	6.715956211
0.6140981531	238	0.2357378595	6.7159729
0.6141097203	239	0.2367283547	6.712017059
0.6141212923	240	0.2377188499	6.712004662
0.6141328705	241	0.2387093451	6.706382752
0.614144436	242	0.2396998403	6.699919224
0.6141560167	243	0.2406903355	6.698736191
0.6141675861	244	0.2416808307	6.70150137
0.6141791698	245	0.242671326	6.697699547
0.6141907464	246	0.2436618212	6.700184345
0.6142023147	247	0.2446523164	6.697461605
0.6142138829	248	0.2456428116	6.696536064
0.6142254617	249	0.2466333068	6.696356773
0.6142370358	250	0.247623802	6.696098328
0.6142486112	251	0.2486142972	6.694607258
0.6142601776	252	0.2496047924	6.689937592
0.6142717591	253	0.2505952876	6.690457821
0.614283338	254	0.2515857828	6.691392899
0.6142948985	255	0.252576278	6.684400082
0.6143064915	256	0.2535667732	6.68295908
0.6143180539	257	0.2545572685	6.690089226
0.6143296267	258	0.2555477637	6.692950726
0.6143412023	259	0.2565382589	6.68595314
0.6143527906	260	0.2575287541	6.685001373
0.6143643571	261	0.2585192493	6.682791233
0.6143759181	262	0.2595097445	6.678794861
0.6143875005	263	0.2605002397	6.675924301
0.6143990726	264	0.2614907349	6.674570561
0.614410642	265	0.2624812301	6.680983067
0.6144222251	266	0.2634717253	6.683391571
0.6144337969	267	0.2644622205	6.683188438
0.6144453682	268	0.2654527157	6.676438808
0.6144569441	269	0.2664432109	6.677811146
0.6144685241	270	0.2674337062	6.670314312
0.6144800907	271	0.2684242014	6.674218655
0.6144916616	272	0.2694146966	6.677566528
0.6145032327	273	0.2704051918	6.675226688
0.614514819	274	0.271395687	6.678253174
0.6145263807	275	0.2723861822	6.671590805
0.614537966	276	0.2733766774	6.660680294
0.6145495317	277	0.2743671726	6.660970211
0.6145611066	278	0.2753576678	6.664144039
0.6145726847	279	0.276348163	6.656443596
0.6145842701	280	0.2773386582	6.653978825
0.6145958274	281	0.2783291534	6.6539011
0.6146074053	282	0.2793196487	6.654165745
0.6146189834	283	0.2803101439	6.654811859
0.6146305602	284	0.2813006391	6.653129101
0.6146421309	285	0.2822911343	6.655768871
0.6146537072	286	0.2832816295	6.656596184
0.6146652785	287	0.2842721247	6.653844357
0.6146768602	288	0.2852626199	6.650715351
0.6146884272	289	0.2862531151	6.641478539
0.6147000096	290	0.2872436103	6.639461994
0.6147115742	291	0.2882341055	6.636167526
0.6147231425	292	0.2892246007	6.63122797
0.6147347159	293	0.2902150959	6.642336845
0.6147462964	294	0.2912055911	6.634345532
0.6147578793	295	0.2921960864	6.627189159
0.614769445	296	0.2931865816	6.630832672
0.6147810164	297	0.2941770768	6.629679203
0.614792594	298	0.295167572	6.625489235
0.6148041731	299	0.2961580672	6.624418259
0.6148157512	300	0.2971485624	6.626186371
0.6148273296	301	0.2981390576	6.628356934
0.6148388904	302	0.2991295528	6.62102747
0.6148504675	303	0.300120048	6.62601614
0.6148620377	304	0.3011105432	6.626817703
0.6148736051	305	0.3021010384	6.622374058
0.6148851949	306	0.3030915336	6.617682457
0.6148967658	307	0.3040820289	6.611180782
0.6149083365	308	0.3050725241	6.608050346
0.614919905	309	0.3060630193	6.605222225
0.6149314962	310	0.3070535145	6.603067875
0.6149430526	311	0.3080440097	6.599146843
0.6149546315	312	0.3090345049	6.594109535
0.6149661981	313	0.3100250001	6.593928337
