Day fraction since midnight on	t (s)	photometer (mg/L)	photometer (volts)
0.6465611193	124	13.01862335	-0.0941252187
0.6465727093	125	13.00664902	-0.0925106183
0.6465842758	126	12.970788	-0.0876622796
0.6465958424	127	12.83155823	-0.0686551258
0.646607409	128	12.84504223	-0.0705088079
0.6466189986	129	12.75602055	-0.0582195111
0.6466305652	130	12.67926216	-0.0475253612
0.6466421549	131	12.69179821	-0.0492782108
0.6466537212	132	12.69409275	-0.0495986715
0.6466652881	133	12.63834572	-0.0417875126
0.6466768546	134	12.59018421	-0.0350001529
0.6466884439	135	12.54720402	-0.0289124716
0.6467000108	136	12.49829483	-0.0219494216
0.6467115773	137	12.43320274	-0.012623813
0.646723167	138	12.31715488	0.0041700662
0.6467347336	139	12.25792027	0.0128257442
0.6467463002	140	12.26825333	0.0113117872
0.6467579126	141	12.20825577	0.0201270562
0.6467694561	142	12.18986225	0.0228413325
0.646781023	143	12.17036533	0.0257244427
0.6467926126	144	12.12239456	0.0328448564
0.6468041792	145	12.06866169	0.0408655927
0.6468157458	146	12.04044724	0.0450964384
0.6468273354	147	12.06171227	0.041906435
0.6468389017	148	12.00830078	0.0499329343
0.6468504683	149	12.03762913	0.0455197133
0.6468620582	150	11.99200535	0.0523912087
0.6468736248	151	11.86802578	0.0712407082
0.6468852145	152	11.86013794	0.0724486932
0.646896781	153	11.81370544	0.0795814618
0.6469083476	154	11.77361488	0.0857694969
0.6469199139	155	11.75131989	0.0892226547
0.6469315038	156	11.76334572	0.0873589665
0.6469430932	157	11.71616745	0.0946845636
0.646954637	158	11.68268776	0.0999065936
0.6469662266	159	11.63118839	0.1079770476
0.6469777932	160	11.59584332	0.113542594
0.6469893597	161	11.46202183	0.1348136514
0.6470009494	162	11.41557789	0.1422700882
0.647012539	163	11.41797924	0.1418835819
0.6470240822	164	11.37224197	0.1492622048
0.6470356953	165	11.38618851	0.1470082849
0.6470472618	166	11.3115015	0.1591190696
0.647058805	167	11.2793417	0.1643650234
0.647070395	168	11.2430191	0.1703123748
0.6470819615	169	11.16030502	0.1839456558
0.6470935282	170	11.10938835	0.1924002618
0.6471051178	171	11.07192516	0.1986514628
0.647116684	172	11.0820837	0.196953848
0.6471282506	173	10.98141861	0.2138614655
0.6471398406	174	10.95519161	0.218297556
0.6471514299	175	10.88288116	0.2305952758
0.6471629737	176	10.80545521	0.2438728958
